Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.4 Core Properties Obtained from Astrodendro
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     ---      id         Sequential identifier
   5- 19 A15    ---      ClumpName  Clump ATLASGAL catalog name (1)
  21- 26 A6     ---      CoreName   Core name (Unique within Clump)
  28- 29 I2     h        RAh        Hour of Right Ascension (ICRS) 
  31- 32 I2     min      RAm        Minute of Right Ascension (ICRS) 
  34- 38 F5.2   s        RAs        Second of Right Ascension (ICRS) 
  40- 40 A1     ---      DE-        Sign of the Declination (ICRS)
  41- 42 I2     deg      DEd        Degree of Declination (ICRS) 
  44- 45 I2     arcmin   DEm        Arcminute of Declination (ICRS) 
  47- 51 F5.2   arcsec   DEs        Arcsecond of Declination (ICRS) 
  53- 56 F4.2   arcsec   maj        Major axis of cores (FWHM)
  58- 61 F4.2   arcsec   min        Minor axis of cores (FWHM)
  63- 67 F5.2   mJy/beam Fpeak      Peak intensity
  69- 73 F5.2   mJy      Fint       Flux Density
--------------------------------------------------------------------------------
Note (1): By replacing G for AGAL, the source name Column (1) matches
    with the ATLASGAL simple names, Schuller et al. (2009)
    [2009A&A...504..415S]; Urquhart et al. (2014, 2018)
    [2014MNRAS.443.1555U, 2018MNRAS.473.1059U].
--------------------------------------------------------------------------------
  0 G010.991-00.082 ALMA1  18 10 06.73 -19 27 45.85 2.81 2.59  2.70 12.63 
  1 G010.991-00.082 ALMA2  18 10 06.35 -19 28 13.85 1.22 0.80  2.32  2.80 
  2 G010.991-00.082 ALMA3  18 10 07.32 -19 28 02.85 1.78 1.12  2.27  4.91 
  3 G010.991-00.082 ALMA4  18 10 06.94 -19 27 35.45 1.78 1.34  1.91  4.04 
  4 G010.991-00.082 ALMA5  18 10 07.85 -19 28 08.65 2.41 1.15  1.41  4.33 
  5 G010.991-00.082 ALMA6  18 10 07.69 -19 28 16.05 1.29 0.49  1.34  1.08 
  6 G010.991-00.082 ALMA7  18 10 07.68 -19 28 01.45 1.95 1.69  1.09  4.60 
  7 G010.991-00.082 ALMA8  18 10 07.42 -19 28 05.25 2.87 1.19  1.01  3.53 
  8 G010.991-00.082 ALMA9  18 10 07.39 -19 27 59.65 1.67 1.00  0.88  2.12 
  9 G010.991-00.082 ALMA10 18 10 07.04 -19 27 39.85 2.12 1.01  0.86  1.60 
 10 G010.991-00.082 ALMA11 18 10 07.62 -19 28 06.85 1.19 0.46  0.86  0.80 
 11 G010.991-00.082 ALMA12 18 10 07.60 -19 28 08.85 1.16 0.50  0.84  0.65 
 12 G010.991-00.082 ALMA13 18 10 07.97 -19 28 04.45 1.92 0.98  0.77  1.55 
 13 G010.991-00.082 ALMA14 18 10 07.52 -19 27 54.25 1.32 0.66  0.71  0.73 
 14 G010.991-00.082 ALMA15 18 10 07.75 -19 27 54.05 1.83 0.64  0.72  0.86 
 15 G010.991-00.082 ALMA16 18 10 07.42 -19 27 31.65 1.40 0.96  0.67  0.90 
 16 G010.991-00.082 ALMA17 18 10 07.00 -19 27 48.25 2.07 1.68  0.67  2.27 
 17 G010.991-00.082 ALMA18 18 10 07.12 -19 27 50.05 1.56 0.79  0.63  1.11 
 18 G010.991-00.082 ALMA19 18 10 07.85 -19 27 58.45 0.95 0.72  0.63  0.67 
 19 G010.991-00.082 ALMA20 18 10 07.59 -19 27 52.25 0.91 0.60  0.61  0.49 
 20 G010.991-00.082 ALMA21 18 10 06.43 -19 27 47.05 1.03 0.69  0.60  0.51 
 21 G010.991-00.082 ALMA22 18 10 07.25 -19 27 51.45 1.21 0.52  0.59  0.48 
 22 G010.991-00.082 ALMA23 18 10 07.27 -19 27 52.65 1.88 0.78  0.59  1.03 
 23 G010.991-00.082 ALMA24 18 10 06.18 -19 27 49.25 2.01 1.03  0.52  1.05 
 24 G010.991-00.082 ALMA25 18 10 06.93 -19 27 58.85 3.54 1.69  0.51  2.67 
 25 G010.991-00.082 ALMA26 18 10 06.52 -19 27 43.45 1.82 0.55  0.50  0.66 
 26 G010.991-00.082 ALMA27 18 10 06.39 -19 27 49.85 1.34 0.51  0.49  0.50 
 27 G010.991-00.082 ALMA28 18 10 06.69 -19 27 41.25 1.63 0.71  0.45  0.56 
 28 G014.492-00.139 ALMA1  18 17 22.55 -16 25 00.72 1.93 1.72  9.99 32.27 
 29 G014.492-00.139 ALMA2  18 17 21.42 -16 25 02.72 1.65 0.96  9.02 16.25 
 30 G014.492-00.139 ALMA3  18 17 22.11 -16 25 05.32 2.01 1.44  6.31 14.86 
 31 G014.492-00.139 ALMA4  18 17 22.86 -16 24 55.12 1.25 0.97  5.40  8.48 
 32 G014.492-00.139 ALMA5  18 17 21.54 -16 24 58.72 1.13 0.74  4.80  5.48 
 33 G014.492-00.139 ALMA6  18 17 21.65 -16 25 03.72 1.00 0.46  3.99  3.23 
 34 G014.492-00.139 ALMA7  18 17 21.31 -16 24 56.12 1.62 1.15  3.59  9.34 
 35 G014.492-00.139 ALMA8  18 17 22.49 -16 24 58.12 0.93 0.72  3.45  3.85 
 36 G014.492-00.139 ALMA9  18 17 21.45 -16 24 54.52 1.12 0.64  3.40  3.38 
 37 G014.492-00.139 ALMA10 18 17 21.38 -16 24 59.32 1.37 1.08  3.32  6.98 
 38 G014.492-00.139 ALMA11 18 17 22.38 -16 24 56.72 1.76 0.76  3.07  6.32 
 39 G014.492-00.139 ALMA12 18 17 22.27 -16 25 00.52 1.10 0.62  2.61  2.63 
 40 G014.492-00.139 ALMA13 18 17 22.70 -16 24 55.92 0.87 0.46  2.57  1.75 
 41 G014.492-00.139 ALMA14 18 17 22.22 -16 24 54.52 0.82 0.41  2.57  1.51 
 42 G014.492-00.139 ALMA15 18 17 22.27 -16 24 58.32 0.67 0.43  2.46  1.28 
 43 G014.492-00.139 ALMA16 18 17 22.04 -16 24 50.92 2.03 1.41  2.29  9.18 
 44 G014.492-00.139 ALMA17 18 17 22.30 -16 24 51.12 1.27 1.15  2.07  4.77 
 45 G014.492-00.139 ALMA18 18 17 21.86 -16 25 06.12 2.00 1.36  1.96  8.10 
 46 G014.492-00.139 ALMA19 18 17 23.38 -16 25 02.32 3.37 1.51  1.88  9.97 
 47 G014.492-00.139 ALMA20 18 17 22.17 -16 25 08.72 1.36 0.44  1.81  1.59 
 48 G014.492-00.139 ALMA21 18 17 20.84 -16 24 50.72 2.61 1.19  1.52  5.05 
 49 G014.492-00.139 ALMA22 18 17 21.95 -16 24 58.12 1.06 0.36  1.44  1.00 
 50 G014.492-00.139 ALMA23 18 17 22.76 -16 25 04.32 1.88 0.92  1.37  3.40 
 51 G014.492-00.139 ALMA24 18 17 22.81 -16 24 59.52 0.94 0.56  1.33  1.19 
 52 G014.492-00.139 ALMA25 18 17 21.23 -16 24 51.52 1.76 1.06  1.30  3.36 
 53 G014.492-00.139 ALMA26 18 17 23.20 -16 24 59.32 1.62 0.96  1.26  2.75 
 54 G014.492-00.139 ALMA27 18 17 21.83 -16 24 57.52 1.67 0.68  1.26  2.10 
 55 G014.492-00.139 ALMA28 18 17 23.66 -16 25 08.72 2.42 0.69  1.17  1.96 
 56 G014.492-00.139 ALMA29 18 17 21.65 -16 24 52.92 1.23 0.72  1.17  1.47 
