Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.6 Core physical parameters
================================================================================
Byte-by-byte Description of file: datafile6_corephy.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     --        id         Sequential identifier
   5- 19 A15    --        ClumpName  Clump ATLASGAL catalog name (1)
  21- 26 A6     --        CoreName   Core name (Unique within Clump)
  28- 31 F4.1   K         Tdust      Dust temperature used for mass calculation
  33- 37 F5.2   Msun      Mcore      Core mass
  39- 43 F5.2   10+23cm-2 N(H2)peak  Column density at continuum peak in a unit of 10^23 cm^-2
  45- 49 I5     au        Radius     Core radius, the geometric mean of the FWHM divided by 2.
  51- 54 F4.2   g.cm-2    Sigma      Surface density
  56- 60 F5.2   10+6cm-3  n(H2)      Molecular volume density
--------------------------------------------------------------------------------
Note (1): By replacing G for AGAL, the source name Column (1) matches
    with the ATLASGAL simple names, Schuller et al. (2009)
    [2009A&A...504..415S]; Urquhart et al. (2014, 2018)
    [2014MNRAS.443.1555U, 2018MNRAS.473.1059U].
--------------------------------------------------------------------------------
  0 G010.991-00.082 ALMA1  13.4  6.90  1.62  4950 0.78  1.72 
  1 G010.991-00.082 ALMA2  12.5  1.68  1.53  1860 1.41  7.95 
  2 G010.991-00.082 ALMA3  12.1  3.10  1.57  2680 1.27  4.87 
  3 G010.991-00.082 ALMA4  14.1  2.05  1.06  2890 0.70  2.58 
  4 G010.991-00.082 ALMA5  10.8  3.24  1.16  3090 0.96  3.31 
  5 G010.991-00.082 ALMA6  13.2  0.60  0.82  1440 0.78  6.03 
  6 G010.991-00.082 ALMA7  12.2  2.87  0.75  3300 0.72  2.42 
  7 G010.991-00.082 ALMA8  12.3  2.17  0.68  3510 0.52  1.52 
  8 G010.991-00.082 ALMA9  11.5  1.44  0.66  2480 0.71  2.87 
  9 G010.991-00.082 ALMA10 12.8  0.92  0.55  2680 0.35  1.44 
 10 G010.991-00.082 ALMA11 11.8  0.53  0.62  1440 0.79  5.33 
 11 G010.991-00.082 ALMA12 11.4  0.45  0.63  1440 0.63  4.53 
 12 G010.991-00.082 ALMA13 13.2  0.86  0.47  2480 0.38  1.72 
 13 G010.991-00.082 ALMA14 11.3  0.52  0.55  1650 0.48  3.50 
 14 G010.991-00.082 ALMA15 12.5  0.52  0.48  2060 0.36  1.79 
 15 G010.991-00.082 ALMA16 11.8  0.59  0.48  2060 0.36  2.04 
 16 G010.991-00.082 ALMA17 12.3  1.41  0.45  3510 0.33  0.99 
 17 G010.991-00.082 ALMA18 11.7  0.74  0.46  2060 0.50  2.55 
 18 G010.991-00.082 ALMA19 13.5  0.36  0.37  1440 0.43  3.62 
 19 G010.991-00.082 ALMA20 11.6  0.33  0.45  1440 0.50  3.32 
 20 G010.991-00.082 ALMA21 13.3  0.28  0.36  1650 0.33  1.89 
 21 G010.991-00.082 ALMA22 11.3  0.34  0.46  1440 0.44  3.42 
 22 G010.991-00.082 ALMA23 11.2  0.73  0.46  2270 0.41  1.89 
 23 G010.991-00.082 ALMA24 14.9  0.49  0.27  2680 0.20  0.77 
 24 G010.991-00.082 ALMA25 12.6  1.59  0.33  4540 0.22  0.52 
 25 G010.991-00.082 ALMA26 14.0  0.34  0.28  1860 0.28  1.61 
 26 G010.991-00.082 ALMA27 12.7  0.29  0.32  1440 0.35  2.92 
 27 G010.991-00.082 ALMA28 14.1  0.28  0.25  2060 0.20  0.97 
 28 G014.492-00.139 ALMA1  16.0 15.43  4.69  3510 3.39 10.84 
 29 G014.492-00.139 ALMA2  18.2  6.51  3.54  2480 3.00 13.00 
 30 G014.492-00.139 ALMA3  15.8  7.22  3.01  3300 1.82  6.08 
 31 G014.492-00.139 ALMA4  17.0  3.73  2.33  2270 2.23  9.67 
 32 G014.492-00.139 ALMA5  16.5  2.50  2.15  1860 2.20 11.83 
 33 G014.492-00.139 ALMA6  16.8  1.44  1.75  1240 2.28 23.00 
 34 G014.492-00.139 ALMA7  16.1  4.40  1.66  2680 1.73  6.91 
 35 G014.492-00.139 ALMA8  15.6  1.91  1.68  1650 2.08 12.87 
 36 G014.492-00.139 ALMA9  15.7  1.66  1.64  1650 1.70 11.19 
 37 G014.492-00.139 ALMA10 16.8  3.11  1.45  2480 1.53  6.21 
 38 G014.492-00.139 ALMA11 14.6  3.42  1.63  2270 1.86  8.86 
 39 G014.492-00.139 ALMA12 14.6  1.43  1.39  1650 1.53  9.64 
 40 G014.492-00.139 ALMA13 16.6  0.79  1.14  1240 1.43 12.62 
 41 G014.492-00.139 ALMA14 13.8  0.89  1.49  1240 1.93 14.21 
 42 G014.492-00.139 ALMA15 14.4  0.71  1.34  1030 1.79 19.60 
 43 G014.492-00.139 ALMA16 13.9  5.35  1.31  3300 1.36  4.51 
 44 G014.492-00.139 ALMA17 13.6  2.87  1.23  2480 1.43  5.73 
 45 G014.492-00.139 ALMA18 14.9  4.28  1.02  3300 1.15  3.60 
 46 G014.492-00.139 ALMA19 11.1  8.11  1.50  4540 1.16  2.63 
 47 G014.492-00.139 ALMA20 17.2  0.69  0.77  1440 0.85  6.94 
 48 G014.492-00.139 ALMA21 13.9  2.93  0.87  3510 0.69  2.06 
 49 G014.492-00.139 ALMA22 14.0  0.58  0.81  1240 1.09  9.26 
 50 G014.492-00.139 ALMA23 15.9  1.64  0.65  2680 0.69  2.58 
 51 G014.492-00.139 ALMA24 16.2  0.56  0.61  1440 0.77  5.63 
 52 G014.492-00.139 ALMA25 14.5  1.84  0.70  2680 0.72  2.89 
 53 G014.492-00.139 ALMA26 15.9  1.32  0.59  2480 0.62  2.64 
 54 G014.492-00.139 ALMA27 14.7  1.13  0.67  2060 0.72  3.90 
 55 G014.492-00.139 ALMA28 15.2  1.01  0.59  2480 0.44  2.02 
 56 G014.492-00.139 ALMA29 14.8  0.78  0.61  1860 0.64  3.69 
 57 G014.492-00.139 ALMA30 15.2  0.68  0.58  1650 0.66  4.58 
 58 G014.492-00.139 ALMA31 15.6  3.04  0.56  4130 0.52  1.31 
 59 G014.492-00.139 ALMA32 13.8  0.57  0.67  1440 0.78  5.73 
 60 G014.492-00.139 ALMA33  6.5  4.75  2.34  2680 1.90  7.46 
 61 G014.492-00.139 ALMA34 14.2  1.05  0.54  2270 0.53  2.72 
 62 G014.492-00.139 ALMA35 13.2  1.13  0.60  2480 0.54  2.26 
 63 G014.492-00.139 ALMA36 14.6  0.54  0.46  1650 0.51  3.64 
