Title: Observational Constraints on the Initial Conditions of High-Mass Star Formation
Author: Morii K.
Table: 3.5 Sub-clump Properties Obtained from Dendrogram
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label      Explanations
--------------------------------------------------------------------------------
   1-  3 I3     ---      ID         Sequential identifier
   5- 19 A15    ---      Clump      Clump ATLASGAL catalog name
  21- 21 I1     ---      Subclump   ID of the sub-clump
  23- 24 I2     h        RAh        Hour of Right Ascension (ICRS) 
  26- 27 I2     min      RAm        Minute of Right Ascension (ICRS) 
  29- 33 F5.2   s        RAs        Second of Right Ascension (ICRS) 
  35- 35 A1     ---      DE-        Sign of the Declination (ICRS)
  36- 37 I2     deg      DEd        Degree of Declination (ICRS) 
  39- 40 I2     arcmin   DEm        Arcminute of Declination (ICRS) 
  42- 46 A5     arcsec   DEs        Arcsecond of Declination (ICRS) 
  48- 52 F5.2   arcsec   major      Major axis of the sub-clump (FWHM)
  54- 58 F5.2   arcsec   minor      Minor axis of the sub-clump (FWHM)
  60- 64 F5.2   ---      Fpeak      Peak intensity in a unit of mJy beam-1
  66- 71 F6.2   mJy      Fint       Flux Density
--------------------------------------------------------------------------------
  0 G010.991-00.082 1 18 10 06.72 -19 27 46.69 12.04  4.26 12.73  23.51 
  1 G010.991-00.082 2 18 10 08.20 -19 28 17.69  6.26  3.37 12.67  14.17 
  2 G010.991-00.082 3 18 10 07.42 -19 28 02.69  9.66  6.28 12.49  39.73 
  3 G014.492-00.139 1 18 17 22.44 -16 25 00.89  6.79  5.72 56.71 110.46 
  4 G014.492-00.139 2 18 17 21.54 -16 25 02.89  5.42  3.22 44.68  41.71 
  5 G014.492-00.139 3 18 17 22.23 -16 25 30.89  5.88  3.47 24.25  26.03 
  6 G015.203-00.441 1 18 19 52.56 -15 56 04.28  9.39  6.77 33.19 102.56 
  7 G015.203-00.441 2 18 19 54.01 -15 56 19.28  5.82  4.96 14.25  25.17 
  8 G015.203-00.441 3 18 19 52.42 -15 55 53.28  4.14  2.17 12.91   8.11 
  9 G015.203-00.441 4 18 19 53.59 -15 55 51.28 10.72  4.89 10.89  25.73 
 10 G015.203-00.441 5 18 19 51.79 -15 55 43.28  6.77  3.70  6.62   9.74 
 11 G015.203-00.441 6 18 19 51.24 -15 55 54.28  4.48  2.81  5.76   4.56 
 12 G016.974-00.222 1 18 22 32.33 -14 16 02.38 10.60  4.50  8.52  13.58 
 13 G016.974-00.222 2 18 22 31.50 -14 15 56.38  8.21  2.97  6.52   9.49 
 14 G016.974-00.222 3 18 22 31.09 -14 16 03.38  3.97  3.13  4.45   3.77 
